 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,9.644,10.923,8.849,8.890,9.340,7.577,8.512,8.813,6.212,8.008
2,11.154,12.746,9.959,10.157,10.350,8.662,9.470,9.839,7.264,8.719
3,11.119,12.495,9.754,10.017,10.542,8.466,8.997,9.436,7.191,8.931
4,10.218,12.633,9.745,9.486,9.543,8.483,9.127,9.543,6.585,8.240
5,10.891,12.897,11.152,10.305,11.238,8.330,9.156,9.419,7.298,9.117
6,10.311,13.111,10.183,10.396,10.383,8.600,9.147,10.045,6.862,8.657
7,11.704,13.849,11.071,10.916,11.134,9.796,10.212,10.682,7.310,9.871
8,10.304,11.986,9.339,9.494,9.700,8.110,8.834,8.922,6.460,8.100
9,9.903,12.199,9.649,9.548,9.539,8.093,8.428,8.900,6.314,8.061
10,11.832,13.839,11.558,10.887,11.051,9.446,10.175,9.932,7.543,9.619
11,10.048,12.240,9.756,9.374,9.446,7.891,9.232,8.949,6.280,8.018
12,10.931,13.170,10.408,10.343,10.513,8.480,9.321,9.543,6.689,8.875
13,10.777,12.237,10.280,10.399,10.740,8.659,9.922,9.306,7.161,9.257
14,15.852,20.141,19.075,16.656,16.846,14.424,15.400,15.140,11.123,13.805
15,18.104,21.516,19.387,17.256,17.994,15.691,17.225,16.737,12.567,14.543
16,16.710,19.866,17.866,16.077,16.312,13.984,16.278,15.322,11.122,13.155
17,15.966,18.959,16.262,15.616,16.098,13.735,15.680,15.458,10.724,12.682
18,18.393,22.600,18.963,18.246,18.415,16.312,16.592,16.692,12.335,15.321
19,18.709,23.844,20.236,19.229,19.181,16.956,17.895,17.987,13.179,16.000
20,17.464,21.232,18.778,16.562,17.294,14.847,15.657,15.378,11.473,13.896
21,17.499,22.423,19.160,17.293,17.780,15.868,16.662,16.176,12.393,14.028
22,16.945,20.425,17.905,16.146,16.549,14.509,15.712,15.229,11.438,12.611
23,17.770,21.401,18.523,16.706,16.973,14.484,15.574,15.706,11.839,13.323
24,19.368,24.977,21.765,18.685,19.386,16.846,17.278,17.552,13.191,14.730
25,16.670,19.052,16.407,15.080,14.993,12.700,14.993,14.219,10.415,11.663
